type,pmid,text
Chemical,35900868,1-deoxySL
Disease,35900868,sensory neuropathy
Chemical,35900868,sphingolipids
Species,35900868,patient
Gene,35900868,HSAN1
Disease,35900868,1-deoxysphingolipids (1-deoxySLs
Chemical,35900868,sphingolipid
Gene,35900868,SPT
Disease,35900868,Amyotrophic lateral sclerosis
Gene,35900868,serine-palmitoyltransferase
Chemical,35900868,lipid
Chemical,35900868,serine
Disease,35900868,neurodegenerative disease
Chemical,35900868,L-alanine
Gene,35900868,SPTLC1
